,Liquidity Coverage Ratio,Values,Net Stable Funding Ratio,Values
0,Total HQLA/Tổng tài sản thanh khoản có chất lượng cao,5028418248551.0,Available Stable Funding/Nguồn vốn ổn định sẵn có,105010418352728.0
1,Total net cash outflows/Tổng dòng tiền ra ròng,12409781039930.156,Required Stable Funding/Nguồn vốn ổn định yêu cầu,60274962824129.9
2,LCR minimum requirement/Yêu cầu tỷ lệ LCR tối thiểu,100%,NSFR minimum requirement/Yêu cầu tỷ lệ NSFR tối thiểu,100%
3,Liquidity Coverage Ratio/Tỷ lệ bao phủ thanh khoản,0.4051979831369612,Net Stable Funding Ratio/Tỷ lệ nguồn vốn ổn định ròng,1.7421896826237302
4,Remark/Nhận xét,Below minimum requirement/Chưa đạt yêu cầu tối thiểu,Remark/Nhận xét,Meet minimum requirement/Tuân thủ yêu cầu tối thiểu
