Instrument Id,Instrument Type,Currency,Face Value,Book Value,Instrument Issue Date,Instrument Maturity Date,Next principal payment Amount,Next Interest Payment Amount,Accrued Interest,Rating Agency,Credit Rating,Customer Type,Next principal payment due date,Next interest payment due date,Principal Amount Less than 6 months,Principal Amount 6 months to 1 year,Principal Amount More than 1 year
000JTTVVND1700001,Vay Ngân hàng Nhà nước,VND," 309,662,000 "," 309,662,000 ",3/1/2017,2/22/2023," 309,662,000 ",," 2,084,685 ",,,Ngân hàng Nhà nước ,2/22/2023,2/22/2023," 309,662,000 ", -   , -   
000JTTVVND1700002,Vay Ngân hàng Nhà nước,VND," 357,789,000 "," 357,789,000 ",5/23/2017,5/16/2023," 357,789,000 ",," 1,002,789 ",,,Ngân hàng Nhà nước ,5/16/2023,5/16/2023, -   ," 357,789,000 ", -   
000ABU1222572246,Tiền gửi của TCTD khác,USD," 142,200,000,000 "," 142,200,000,000 ",9/14/2022,12/7/2022," 142,200,000,000 ",," 231,805,434 ",,,Ngân hàng,12/7/2022,12/7/2022," 142,200,000,000 ", -   , -   
000ABU1222592252,Tiền gửi của TCTD khác,USD," 142,200,000,000 "," 142,200,000,000 ",9/16/2022,12/14/2022," 142,200,000,000 ",," 204,534,318 ",,,Ngân hàng,12/14/2022,12/14/2022," 142,200,000,000 ", -   , -   
000ABU1222592253,Tiền gửi của TCTD khác,USD," 142,200,000,000 "," 142,200,000,000 ",9/16/2022,12/12/2022," 142,200,000,000 ",," 198,690,372 ",,,Ngân hàng,12/12/2022,12/12/2022," 142,200,000,000 ", -   , -   
000ABU1222722282,Tiền gửi của TCTD khác,USD," 189,600,000,000 "," 189,600,000,000 ",9/29/2022,10/6/2022," 189,600,000,000 ",," 33,244,938 ",,,Ngân hàng,10/6/2022,10/6/2022," 189,600,000,000 ", -   , -   
000ABU1222722279,Tiền gửi của TCTD khác,USD," 165,900,000,000 "," 165,900,000,000 ",9/29/2022,10/3/2022," 165,900,000,000 ",," 29,089,380 ",,,Ngân hàng,10/3/2022,10/3/2022," 165,900,000,000 ", -   , -   
000ABU1222572241,Tiền gửi của TCTD khác,USD," 118,500,000,000 "," 118,500,000,000 ",9/14/2022,11/14/2022," 118,500,000,000 ",," 193,171,116 ",,,Ngân hàng,11/14/2022,11/14/2022," 118,500,000,000 ", -   , -   
000ABU1222582249,Tiền gửi của TCTD khác,USD," 118,500,000,000 "," 118,500,000,000 ",9/15/2022,11/15/2022," 118,500,000,000 ",," 176,613,585 ",,,Ngân hàng,11/15/2022,11/15/2022," 118,500,000,000 ", -   , -   
